Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides UPS2_yeast	Razor + unique peptides UPS2_yeast	Unique peptides UPS2_yeast	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Q-value	Score	Identification type UPS2_yeast	Sequence coverage UPS2_yeast [%]	Intensity	Intensity UPS2_yeast	iBAQ	iBAQ UPS2_yeast	LFQ intensity UPS2_yeast	MS/MS Count UPS2_yeast	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
REV__sp|Q03280|TOM1_YEAST	REV__sp|Q03280|TOM1_YEAST	1	1	1	>sp|Q03280|TOM1_YEAST E3 ubiquitin-protein ligase TOM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TOM1 PE=1 SV=1	1	1	1	1	1	1	1	0	0	0	374.18	3268	3268	1	7	0.0046368	1.3691	By MS/MS	0	975330000	975330000	非数字	非数字	1064400000	3	3		+		10	1921	True	1945	7091;7092;7093;7094;7095;7096;7097	7093;7094;7095	7095		
REV__sp|Q06830ups|PRDX1_HUMAN_UPS	REV__sp|Q06830ups|PRDX1_HUMAN_UPS	1	1	1	>sp|Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)	1	1	1	1	1	1	1	0	0	0	21.979	198	198	1	4	0.0097305	1.0329	By MS/MS	0	89826000	89826000	非数字	非数字	145090000	1	1		+		11	5995	True	6098	22565;22566;22567;22568	22853;22854	22854		
REV__sp|Q08921|TCO89_YEAST	REV__sp|Q08921|TCO89_YEAST	1	1	1	>sp|Q08921|TCO89_YEAST Target of rapamycin complex 1 subunit TCO89 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TCO89 PE=1 SV=1	1	1	1	1	1	1	1	0	0	0	88.844	799	799	1	6	0.0069337	1.3393	By MS/MS	0	109380000	109380000	非数字	非数字	130140000	4	4		+		12	3538	True	3588	13222;13223;13224;13225;13226;13227	13262;13263;13264;13265	13263		
REV__sp|Q12369|SFI1_YEAST	REV__sp|Q12369|SFI1_YEAST	2	2	2	>sp|Q12369|SFI1_YEAST Protein SFI1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SFI1 PE=1 SV=1	1	2	2	2	2	2	2	0	0	0	112.98	946	946	1	7	0.0061824	1.358	By MS/MS	0	2906100000	2906100000	非数字	非数字	2912700000	10	10		+		13	5931;6901	True;True	6034;7017	22347;22348;22349;22350;22351;22352;25932	22644;22645;22646;22647;22648;22649;22650;22651;22652;26380	22646;26380		
sp|A5Z2X5|YP010_YEAST	sp|A5Z2X5|YP010_YEAST	1	1	1	>sp|A5Z2X5|YP010_YEAST UPF0495 protein YPR010C-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YPR010C-A PE=3 SV=1	1	1	1	1	1	1	1	22.2	22.2	22.2	7.9021	72	72	1	3	0	2.8364	By MS/MS	22.2	361640000	361640000	120550000	120550000	848680000	1	1				14	5073	True	5146	19166;19167;19168	19485	19485		
sp|O13297|CET1_YEAST	sp|O13297|CET1_YEAST	2	2	2	>sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CET1 PE=1 SV=2	1	2	2	2	2	2	2	4.6	4.6	4.6	61.849	549	549	1	5	0	4.2173	By MS/MS	4.6	65990000	65990000	2128700	2128700	136830000	3	3				15	4399;8144	True;True	4461;8274	16569;16570;30652;30653;30654	16750;31216;31217	16750;31217		
sp|O13516|RS9A_YEAST	sp|O13516|RS9A_YEAST	11	1	1	>sp|O13516|RS9A_YEAST 40S ribosomal protein S9-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS9A PE=1 SV=3	1	11	1	1	11	1	1	49.7	9.1	9.1	22.443	197	197	1	3	0	14.332	By MS/MS	49.7	235000000	235000000	23500000	23500000	490390000	3	3				16	3108;3754;3943;4071;4243;4364;4435;4940;6098;7676;7795	False;False;True;False;False;False;False;False;False;False;False	3152;3806;3996;4126;4304;4425;4497;5012;6203;7798;7918	11592;11593;11594;11595;11596;11597;14032;14033;14034;14035;14036;14037;14719;14720;14721;15307;15308;15309;16051;16052;16053;16434;16435;16436;16437;16438;16439;16677;16678;16679;18697;18698;18699;22937;22938;22939;22940;22941;22942;28684;28685;28686;29235	11582;11583;11584;11585;11586;11587;14236;14237;14238;14900;14901;14902;15444;15445;15446;15447;16241;16242;16615;16616;16617;16859;16860;16861;16862;16863;16864;19025;19026;19027;23266;23267;23268;23269;23270;23271;29214;29215;29216;29217;29773	11587;14237;14900;15445;16242;16616;16861;19025;23266;29217;29773		
sp|O13535|YH11B_YEAST;sp|Q12316|YG13B_YEAST;sp|Q12088|YL11B_YEAST;sp|Q03619|YE12B_YEAST;sp|Q12193|YB12B_YEAST;sp|Q99337|YN12B_YEAST;sp|Q12112|YN11B_YEAST;sp|Q12490|YB11B_YEAST;sp|Q04214|YM13B_YEAST;sp|Q12266|YB11A_YEAST;sp|Q04215|YM13A_YEAST	sp|O13535|YH11B_YEAST;sp|Q12316|YG13B_YEAST;sp|Q12088|YL11B_YEAST;sp|Q03619|YE12B_YEAST;sp|Q12193|YB12B_YEAST;sp|Q99337|YN12B_YEAST	16;15;15;15;15;14;3;3;3;1;1	1;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0	>sp|O13535|YH11B_YEAST Transposon Ty1-H Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TY1B-H PE=3 SV=1;>sp|Q12316|YG13B_YEAST Transposon Ty1-GR3 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) 	11	16	1	0	16	1	0	12.5	0.9	0	202.81	1793	1793;1755;1755;1755;1756;1749;1755;1755;1755;440;440	1	3	0	2.0063	By matching	12.5	0	0	0	0	0	0	0				17	243;956;1942;2258;2259;4821;5315;5360;5765;5989;6624;6850;6947;7549;8172;8743	False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False	247;969;1967;2286;2287;4890;5399;5449;5868;6092;6736;6965;7063;7669;8303;8884	975;976;977;978;979;980;981;982;983;984;985;986;987;988;989;990;991;3642;3643;3644;7177;7178;7179;7180;7181;7182;7183;7184;7185;7186;7187;8353;8354;8355;8356;8357;8358;8359;8360;8361;8362;8363;8364;18224;18225;18226;18227;18228;18229;20166;20167;20168;20169;20170;20171;20337;20338;20339;21761;21762;21763;22544;22545;22546;24905;24906;25734;25735;25736;26077;26078;26079;28261;28262;28263;30769;30770;30771;30772;33062;33063;33064;33065;33066;33067	1018;1019;1020;1021;1022;1023;1024;1025;1026;1027;1028;1029;3606;3607;3608;7190;7191;7192;7193;7194;7195;7196;7197;7198;7199;7200;7201;7202;8364;8365;8366;8367;8368;8369;8370;8371;8372;8373;8374;8375;8376;8377;8378;18488;18489;18490;18491;18492;18493;20506;20507;20508;20509;20510;20511;20657;20658;20659;22050;22834;22835;25267;26164;26165;26166;26167;26168;26535;28765;28766;28767;28768;28769;28770;28771;28772;28773;28774;31347;31348;31349;33666;33667;33668;33669;33670;33671	1026;3608;7191;8371;8378;18491;20507;20657;22050;22835;25267;26166;26535;28773;31349;33669		
sp|O13563|RPN13_YEAST	sp|O13563|RPN13_YEAST	2	2	2	>sp|O13563|RPN13_YEAST 26S proteasome regulatory subunit RPN13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPN13 PE=1 SV=1	1	2	2	2	2	2	2	15.4	15.4	15.4	17.902	156	156	1	3	0	3.9473	By MS/MS	15.4	89714000	89714000	8971400	8971400	243870000	1	1				18	230;5763	True;True	234;5866	923;21756;21757	977;22047;22048	977;22047		
sp|O14455|RL36B_YEAST;sp|P05745|RL36A_YEAST	sp|O14455|RL36B_YEAST;sp|P05745|RL36A_YEAST	6;5	6;5	6;5	>sp|O14455|RL36B_YEAST 60S ribosomal protein L36-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL36B PE=1 SV=3;>sp|P05745|RL36A_YEAST 60S ribosomal protein L36-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL36A PE=1 SV=3	2	6	6	6	6	6	6	49	49	49	11.135	100	100;100	1	26	0	24.794	By MS/MS	49	9412500000	9412500000	2353100000	2353100000	18401000000	25	25				19	317;1549;6286;7147;7682;8182	True;True;True;True;True;True	323;1568;6391;7263;7804;8313	1270;1271;1272;1273;1274;1275;5638;5639;5640;23651;23652;23653;26775;26776;26777;28698;28699;28700;28701;30804;30805;30806;30807;30808;30809;30810	1288;1289;1290;1291;1292;1293;5570;5571;5572;24028;24029;24030;27282;27283;27284;29227;29228;29229;29230;29231;29232;31381;31382;31383;31384	1288;5570;24028;27283;29228;31383		
sp|O14467|MBF1_YEAST	sp|O14467|MBF1_YEAST	8	8	8	>sp|O14467|MBF1_YEAST Multiprotein-bridging factor 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MBF1 PE=1 SV=2	1	8	8	8	8	8	8	45	45	45	16.403	151	151	1	29	0	27.12	By MS/MS	45	4098900000	4098900000	409890000	409890000	8878600000	32	32				20	294;2784;3644;6060;6311;6312;6746;7660	True;True;True;True;True;True;True;True	300;2820;3696;6164;6417;6418;6861;7782	1195;1196;1197;10192;10193;10194;10195;13616;13617;13618;13619;13620;13621;22807;23766;23767;23768;23769;23770;23771;23772;23773;23774;25369;25370;25371;28638;28639;28640	1221;1222;1223;1224;1225;1226;1227;1228;1229;10160;10161;10162;10163;13704;13705;13706;13707;13708;13709;23139;24156;24157;24158;24159;24160;24161;24162;24163;24164;25798;29166;29167;29168	1228;10161;13706;23139;24156;24159;25798;29166		
sp|O43137|YB085_YEAST	sp|O43137|YB085_YEAST	2	2	2	>sp|O43137|YB085_YEAST Uncharacterized protein YBR085C-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YBR085C-A PE=1 SV=1	1	2	2	2	2	2	2	15.3	15.3	15.3	9.4044	85	85	1	6	0	23.81	By MS/MS	15.3	296470000	296470000	59294000	59294000	645330000	5	5				21	4104;5862	True;True	4162;5965	15452;15453;15454;22121;22122;22123	15590;15591;15592;22447;22448;22449	15592;22447		
sp|O76070ups|SYUG_HUMAN_UPS	sp|O76070ups|SYUG_HUMAN_UPS	6	5	5	>sp|O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	1	6	5	5	6	5	5	42.2	31.3	31.3	15.494	147	147	1	18	0	64.298	By MS/MS	42.2	689990000	689990000	68999000	68999000	1565800000	10	10				22	1405;1608;1775;2877;3989;7245	True;True;True;False;True;True	1423;1629;1797;2917;4043;7361	5090;5091;5092;5093;5094;5946;5947;5948;5949;6495;6496;10585;10586;10587;10588;10589;10590;10591;10592;10593;10594;10595;10596;10597;10598;10599;10600;10601;10602;10603;10604;10605;10606;10607;10608;14929;14930;14931;14932;27130;27131;27132	4978;4979;4980;4981;5953;5954;5955;6444;10536;10537;10538;10539;10540;10541;10542;10543;10544;10545;10546;10547;10548;10549;10550;10551;10552;10553;10554;15074;15075;15076;27635;27636;27637	4979;5955;6444;10539;15075;27637		
sp|P00044|CYC1_YEAST	sp|P00044|CYC1_YEAST	5	5	4	>sp|P00044|CYC1_YEAST Cytochrome c iso-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CYC1 PE=1 SV=2	1	5	5	4	5	5	4	41.3	41.3	31.2	12.182	109	109	1	21	0	66.342	By MS/MS	41.3	783730000	783730000	130620000	130620000	1834900000	11	11				23	1141;3187;3188;5252;7785	True;True;True;True;True	1157;3233;3234;5329;7908	4242;4243;4244;11925;11926;11927;11928;11929;11930;11931;11932;11933;19884;19885;19886;29206;29207;29208;29209;29210;29211	4174;11972;11973;11974;11975;11976;11977;11978;11979;20249;20250;20251;29745;29746;29747;29748;29749;29750	4174;11975;11979;20251;29750		
sp|P00045|CYC7_YEAST	sp|P00045|CYC7_YEAST	5	4	4	>sp|P00045|CYC7_YEAST Cytochrome c iso-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CYC7 PE=1 SV=1	1	5	4	4	5	4	4	35.4	25.7	25.7	12.532	113	113	1	11	0	8.7255	By MS/MS	35.4	489200000	489200000	81533000	81533000	1119100000	10	10				24	1142;3002;5251;5469;7785	True;True;True;True;False	1158;3046;5328;5562;7908	4245;4246;4247;11082;11083;11084;19881;19882;19883;20726;20727;29206;29207;29208;29209;29210;29211	4175;11069;11070;11071;11072;11073;20247;20248;21033;21034;29745;29746;29747;29748;29749;29750	4175;11072;20248;21034;29750		
sp|P00127|QCR6_YEAST	sp|P00127|QCR6_YEAST	1	1	1	>sp|P00127|QCR6_YEAST Cytochrome b-c1 complex subunit 6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=QCR6 PE=1 SV=2	1	1	1	1	1	1	1	8.2	8.2	8.2	17.257	147	147	1	6	0	9.0169	By MS/MS	8.2	498520000	498520000	83087000	83087000	987080000	4	4				25	398	True	404	1558;1559;1560;1561;1562;1563	1561;1562;1563;1564;1565	1564		
sp|P00128|QCR7_YEAST	sp|P00128|QCR7_YEAST	4	4	4	>sp|P00128|QCR7_YEAST Cytochrome b-c1 complex subunit 7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=QCR7 PE=1 SV=2	1	4	4	4	4	4	4	44.1	44.1	44.1	14.565	127	127	1	16	0	21.182	By MS/MS	44.1	737510000	737510000	92188000	92188000	1508900000	19	19				26	245;2065;4303;6288	True;True;True;True	249;2091;4364;6393	998;999;1000;1001;1002;1003;1004;7643;7644;7645;16255;16256;16257;23656;23657;23658	1036;1037;1038;1039;1040;1041;7623;7624;7625;16449;16450;16451;24032;24033;24034;24035;24036;24037;24038	1037;7624;16451;24033		
sp|P00167ups|CYB5_HUMAN_UPS	sp|P00167ups|CYB5_HUMAN_UPS	5	5	5	>sp|P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	1	5	5	5	5	5	5	47.1	47.1	47.1	16.153	140	140	1	36	0	60.767	By MS/MS	47.1	60149000000	60149000000	10025000000	10025000000	132590000000	76	76				27	1796;2235;6858;7107;8770	True;True;True;True;True	1818;2263;6973;7223;8911	6571;6572;6573;6574;6575;6576;6577;6578;6579;6580;6581;6582;6583;6584;6585;8275;8276;8277;8278;8279;8280;25764;25765;25766;25767;25768;25769;26644;26645;26646;26647;26648;26649;33160;33161;33162	6516;6517;6518;6519;6520;6521;6522;6523;6524;6525;6526;6527;6528;6529;6530;6531;6532;6533;6534;6535;6536;6537;8273;8274;8275;8276;8277;8278;8279;8280;8281;8282;8283;8284;8285;8286;8287;8288;26190;26191;26192;26193;26194;26195;26196;26197;26198;26199;26200;26201;26202;26203;26204;26205;26206;26207;27141;27142;27143;27144;27145;27146;27147;27148;27149;27150;27151;27152;27153;27154;27155;27156;33764;33765;33766;33767	6530;8282;26190;27146;33765		
sp|P00175|CYB2_YEAST	sp|P00175|CYB2_YEAST	5	5	5	>sp|P00175|CYB2_YEAST Cytochrome b2, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CYB2 PE=1 SV=1	1	5	5	5	5	5	5	12	12	12	65.539	591	591	1	12	0	32.008	By MS/MS	12	292500000	292500000	9435600	9435600	651870000	7	7				28	17;462;1249;2250;3775	True;True;True;True;True	17;470;1266;2278;3828	67;68;69;1793;1794;1795;4580;4581;4582;8324;8325;14139	70;1790;1791;1792;4474;4475;8332;14349	70;1792;4475;8332;14349		
sp|P00330|ADH1_YEAST;sp|P00331|ADH2_YEAST;sp|P38113|ADH5_YEAST	sp|P00330|ADH1_YEAST	18;5;1	18;5;1	17;5;1	>sp|P00330|ADH1_YEAST Alcohol dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADH1 PE=1 SV=5	3	18	18	17	18	18	17	64.7	64.7	58.6	36.849	348	348;348;351	1	205	0	264.93	By MS/MS	64.7	139850000000	139850000000	8226400000	8226400000	275540000000	293	293				29	422;428;554;707;966;978;1333;1605;2938;3429;4876;6356;6541;6571;7909;7910;8224;8679	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	428;434;563;718;979;991;1351;1626;2979;3478;4946;4947;6462;6463;6652;6682;8037;8038;8355;8820	1635;1636;1637;1638;1639;1658;1659;1660;1661;1662;1663;1664;1665;2182;2183;2184;2185;2186;2187;2188;2189;2190;2191;2192;2193;2194;2195;2196;2197;2198;2199;2200;2201;2785;2786;2787;2788;2789;2790;2791;2792;2793;3677;3678;3679;3710;3711;3712;4854;4855;4856;4857;4858;4859;5931;5932;5933;5934;5935;5936;10841;10842;10843;10844;10845;10846;10847;10848;12794;12795;12796;18419;18420;18421;18422;18423;18424;18425;18426;18427;18428;18429;18430;18431;18432;18433;18434;18435;18436;18437;18438;18439;18440;18441;18442;18443;18444;18445;18446;18447;18448;18449;18450;18451;18452;18453;18454;18455;18456;18457;18458;18459;18460;18461;18462;18463;18464;18465;18466;18467;18468;18469;18470;18471;18472;18473;18474;18475;18476;18477;23912;23913;23914;23915;23916;24583;24584;24585;24687;24688;24689;24690;29753;29754;29755;29756;29757;29758;29759;29760;29761;29762;29763;29764;29765;29766;29767;29768;29769;29770;29771;29772;29773;29774;29775;29776;29777;29778;29779;29780;29781;29782;30993;30994;30995;30996;30997;30998;30999;31000;31001;31002;31003;31004;31005;31006;31007;31008;31009;31010;32813;32814;32815;32816;32817;32818;32819;32820;32821;32822;32823;32824;32825;32826;32827	1628;1629;1630;1631;1632;1633;1634;1635;1636;1637;1638;1654;1655;1656;1657;1658;1659;1660;1661;1662;1663;1664;1665;2210;2211;2212;2213;2214;2215;2216;2217;2218;2219;2220;2221;2222;2223;2224;2225;2226;2227;2228;2229;2230;2231;2232;2233;2234;2235;2236;2237;2839;2840;2841;2842;2843;2844;2845;2846;2847;3641;3642;3643;3644;3645;3646;3675;3676;3677;3678;4723;4724;4725;4726;4727;4728;4729;4730;4731;4732;4733;5933;5934;5935;5936;5937;5938;5939;5940;5941;5942;5943;5944;10800;10801;10802;10803;10804;10805;10806;10807;10808;10809;10810;10811;10812;10813;10814;12809;12810;12811;12812;12813;12814;12815;12816;18708;18709;18710;18711;18712;18713;18714;18715;18716;18717;18718;18719;18720;18721;18722;18723;18724;18725;18726;18727;18728;18729;18730;18731;18732;18733;18734;18735;18736;18737;18738;18739;18740;18741;18742;18743;18744;18745;18746;18747;18748;18749;18750;18751;18752;18753;18754;18755;18756;18757;18758;18759;18760;18761;18762;18763;18764;18765;18766;18767;18768;18769;18770;18771;18772;18773;18774;18775;18776;18777;18778;18779;18780;18781;18782;18783;18784;18785;18786;18787;18788;18789;18790;18791;18792;18793;18794;18795;18796;18797;18798;18799;18800;18801;18802;18803;18804;18805;18806;18807;18808;18809;18810;18811;18812;18813;18814;18815;18816;18817;18818;18819;18820;24289;24290;24291;24947;24948;24949;24950;25046;25047;25048;25049;25050;30303;30304;30305;30306;30307;30308;30309;30310;30311;30312;30313;30314;30315;30316;30317;30318;30319;30320;30321;30322;30323;30324;30325;30326;30327;30328;30329;30330;30331;30332;30333;30334;30335;30336;30337;30338;31590;31591;31592;31593;31594;31595;31596;31597;31598;31599;31600;31601;31602;31603;31604;31605;31606;31607;31608;31609;31610;31611;33429;33430;33431;33432;33433;33434;33435;33436;33437;33438;33439;33440;33441;33442;33443;33444;33445;33446;33447;33448;33449;33450;33451;33452;33453	1637;1655;2210;2847;3644;3676;4733;5938;10812;12812;18759;24291;24947;25048;30308;30327;31605;33448	1;2	76;169
